DateKey,FullDateAlternateKey,DayNumberOfWeek,EnglishDayNameOfWeek,SpanishDayNameOfWeek,FrenchDayNameOfWeek,DayNumberOfMonth,DayNumberOfYear,WeekNumberOfYear,EnglishMonthName,SpanishMonthName,FrenchMonthName,MonthNumberOfYear,CalendarQuarter,CalendarYear,CalendarSemester,FiscalQuarter,FiscalYear,FiscalSemester
20050101,1/1/2005,7,Saturday,Sábado,Samedi,1,1,1/1/1900,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050102,1/2/2005,1,Sunday,Domingo,Dimanche,2,2,1/2/1900,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050103,1/3/2005,2,Monday,Lunes,Lundi,3,3,1/2/1900,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050104,1/4/2005,3,Tuesday,Martes,Mardi,4,4,1/2/1900,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050105,1/5/2005,4,Wednesday,Miércoles,Mercredi,5,5,1/2/1900,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050106,1/6/2005,5,Thursday,Jueves,Jeudi,6,6,1/2/1900,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050107,1/7/2005,6,Friday,Viernes,Vendredi,7,7,1/2/1900,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050108,1/8/2005,7,Saturday,Sábado,Samedi,8,8,1/2/1900,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050109,1/9/2005,1,Sunday,Domingo,Dimanche,9,9,1/3/1900,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050110,1/10/2005,2,Monday,Lunes,Lundi,10,10,1/3/1900,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050111,1/11/2005,3,Tuesday,Martes,Mardi,11,11,1/3/1900,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050112,1/12/2005,4,Wednesday,Miércoles,Mercredi,12,12,1/3/1900,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050113,1/13/2005,5,Thursday,Jueves,Jeudi,13,13,1/3/1900,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050114,1/14/2005,6,Friday,Viernes,Vendredi,14,14,1/3/1900,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050115,1/15/2005,7,Saturday,Sábado,Samedi,15,15,1/3/1900,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050116,1/16/2005,1,Sunday,Domingo,Dimanche,16,16,1/4/1900,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050117,1/17/2005,2,Monday,Lunes,Lundi,17,17,1/4/1900,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050118,1/18/2005,3,Tuesday,Martes,Mardi,18,18,1/4/1900,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050119,1/19/2005,4,Wednesday,Miércoles,Mercredi,19,19,1/4/1900,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050120,1/20/2005,5,Thursday,Jueves,Jeudi,20,20,1/4/1900,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050121,1/21/2005,6,Friday,Viernes,Vendredi,21,21,1/4/1900,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050122,1/22/2005,7,Saturday,Sábado,Samedi,22,22,1/4/1900,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050123,1/23/2005,1,Sunday,Domingo,Dimanche,23,23,1/5/1900,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050124,1/24/2005,2,Monday,Lunes,Lundi,24,24,1/5/1900,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050125,1/25/2005,3,Tuesday,Martes,Mardi,25,25,1/5/1900,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050126,1/26/2005,4,Wednesday,Miércoles,Mercredi,26,26,1/5/1900,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050127,1/27/2005,5,Thursday,Jueves,Jeudi,27,27,1/5/1900,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050128,1/28/2005,6,Friday,Viernes,Vendredi,28,28,1/5/1900,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050129,1/29/2005,7,Saturday,Sábado,Samedi,29,29,1/5/1900,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050130,1/30/2005,1,Sunday,Domingo,Dimanche,30,30,1/6/1900,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050131,1/31/2005,2,Monday,Lunes,Lundi,31,31,1/6/1900,January,Enero,Janvier,1,1,2005,1,3,2005,2
20050201,2/1/2005,3,Tuesday,Martes,Mardi,1,32,1/6/1900,February,Febrero,Février,2,1,2005,1,3,2005,2
20050202,2/2/2005,4,Wednesday,Miércoles,Mercredi,2,33,1/6/1900,February,Febrero,Février,2,1,2005,1,3,2005,2
20050203,2/3/2005,5,Thursday,Jueves,Jeudi,3,34,1/6/1900,February,Febrero,Février,2,1,2005,1,3,2005,2
20050204,2/4/2005,6,Friday,Viernes,Vendredi,4,35,1/6/1900,February,Febrero,Février,2,1,2005,1,3,2005,2
20050205,2/5/2005,7,Saturday,Sábado,Samedi,5,36,1/6/1900,February,Febrero,Février,2,1,2005,1,3,2005,2
20050206,2/6/2005,1,Sunday,Domingo,Dimanche,6,37,1/7/1900,February,Febrero,Février,2,1,2005,1,3,2005,2
20050207,2/7/2005,2,Monday,Lunes,Lundi,7,38,1/7/1900,February,Febrero,Février,2,1,2005,1,3,2005,2
20050208,2/8/2005,3,Tuesday,Martes,Mardi,8,39,1/7/1900,February,Febrero,Février,2,1,2005,1,3,2005,2
20050209,2/9/2005,4,Wednesday,Miércoles,Mercredi,9,40,1/7/1900,February,Febrero,Février,2,1,2005,1,3,2005,2
20050210,2/10/2005,5,Thursday,Jueves,Jeudi,10,41,1/7/1900,February,Febrero,Février,2,1,2005,1,3,2005,2
20050211,2/11/2005,6,Friday,Viernes,Vendredi,11,42,1/7/1900,February,Febrero,Février,2,1,2005,1,3,2005,2
20050212,2/12/2005,7,Saturday,Sábado,Samedi,12,43,1/7/1900,February,Febrero,Février,2,1,2005,1,3,2005,2
20050213,2/13/2005,1,Sunday,Domingo,Dimanche,13,44,1/8/1900,February,Febrero,Février,2,1,2005,1,3,2005,2
20050214,2/14/2005,2,Monday,Lunes,Lundi,14,45,1/8/1900,February,Febrero,Février,2,1,2005,1,3,2005,2
20050215,2/15/2005,3,Tuesday,Martes,Mardi,15,46,1/8/1900,February,Febrero,Février,2,1,2005,1,3,2005,2
20050216,2/16/2005,4,Wednesday,Miércoles,Mercredi,16,47,1/8/1900,February,Febrero,Février,2,1,2005,1,3,2005,2
20050217,2/17/2005,5,Thursday,Jueves,Jeudi,17,48,1/8/1900,February,Febrero,Février,2,1,2005,1,3,2005,2
20050218,2/18/2005,6,Friday,Viernes,Vendredi,18,49,1/8/1900,February,Febrero,Février,2,1,2005,1,3,2005,2
20050219,2/19/2005,7,Saturday,Sábado,Samedi,19,50,1/8/1900,February,Febrero,Février,2,1,2005,1,3,2005,2
20050220,2/20/2005,1,Sunday,Domingo,Dimanche,20,51,1/9/1900,February,Febrero,Février,2,1,2005,1,3,2005,2
20050221,2/21/2005,2,Monday,Lunes,Lundi,21,52,1/9/1900,February,Febrero,Février,2,1,2005,1,3,2005,2
20050222,2/22/2005,3,Tuesday,Martes,Mardi,22,53,1/9/1900,February,Febrero,Février,2,1,2005,1,3,2005,2
20050223,2/23/2005,4,Wednesday,Miércoles,Mercredi,23,54,1/9/1900,February,Febrero,Février,2,1,2005,1,3,2005,2
20050224,2/24/2005,5,Thursday,Jueves,Jeudi,24,55,1/9/1900,February,Febrero,Février,2,1,2005,1,3,2005,2
20050225,2/25/2005,6,Friday,Viernes,Vendredi,25,56,1/9/1900,February,Febrero,Février,2,1,2005,1,3,2005,2
20050226,2/26/2005,7,Saturday,Sábado,Samedi,26,57,1/9/1900,February,Febrero,Février,2,1,2005,1,3,2005,2
20050227,2/27/2005,1,Sunday,Domingo,Dimanche,27,58,1/10/1900,February,Febrero,Février,2,1,2005,1,3,2005,2
20050228,2/28/2005,2,Monday,Lunes,Lundi,28,59,1/10/1900,February,Febrero,Février,2,1,2005,1,3,2005,2
20050301,3/1/2005,3,Tuesday,Martes,Mardi,1,60,1/10/1900,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050302,3/2/2005,4,Wednesday,Miércoles,Mercredi,2,61,1/10/1900,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050303,3/3/2005,5,Thursday,Jueves,Jeudi,3,62,1/10/1900,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050304,3/4/2005,6,Friday,Viernes,Vendredi,4,63,1/10/1900,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050305,3/5/2005,7,Saturday,Sábado,Samedi,5,64,1/10/1900,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050306,3/6/2005,1,Sunday,Domingo,Dimanche,6,65,1/11/1900,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050307,3/7/2005,2,Monday,Lunes,Lundi,7,66,1/11/1900,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050308,3/8/2005,3,Tuesday,Martes,Mardi,8,67,1/11/1900,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050309,3/9/2005,4,Wednesday,Miércoles,Mercredi,9,68,1/11/1900,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050310,3/10/2005,5,Thursday,Jueves,Jeudi,10,69,1/11/1900,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050311,3/11/2005,6,Friday,Viernes,Vendredi,11,70,1/11/1900,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050312,3/12/2005,7,Saturday,Sábado,Samedi,12,71,1/11/1900,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050313,3/13/2005,1,Sunday,Domingo,Dimanche,13,72,1/12/1900,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050314,3/14/2005,2,Monday,Lunes,Lundi,14,73,1/12/1900,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050315,3/15/2005,3,Tuesday,Martes,Mardi,15,74,1/12/1900,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050316,3/16/2005,4,Wednesday,Miércoles,Mercredi,16,75,1/12/1900,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050317,3/17/2005,5,Thursday,Jueves,Jeudi,17,76,1/12/1900,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050318,3/18/2005,6,Friday,Viernes,Vendredi,18,77,1/12/1900,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050319,3/19/2005,7,Saturday,Sábado,Samedi,19,78,1/12/1900,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050320,3/20/2005,1,Sunday,Domingo,Dimanche,20,79,1/13/1900,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050321,3/21/2005,2,Monday,Lunes,Lundi,21,80,1/13/1900,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050322,3/22/2005,3,Tuesday,Martes,Mardi,22,81,1/13/1900,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050323,3/23/2005,4,Wednesday,Miércoles,Mercredi,23,82,1/13/1900,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050324,3/24/2005,5,Thursday,Jueves,Jeudi,24,83,1/13/1900,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050325,3/25/2005,6,Friday,Viernes,Vendredi,25,84,1/13/1900,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050326,3/26/2005,7,Saturday,Sábado,Samedi,26,85,1/13/1900,March,Marzo,Mars,3,1,2005,1,3,2005,2
20050327,3/27/2005,1,Sunday,Domingo,Dimanche,27,86,1/14/1900,March,Marzo,Mars,3,1,2005,1,3,2005,2
