PromotionKey,PromotionAlternateKey,EnglishPromotionName,SpanishPromotionName,FrenchPromotionName,DiscountPct,EnglishPromotionType,SpanishPromotionType,FrenchPromotionType,EnglishPromotionCategory,SpanishPromotionCategory,FrenchPromotionCategory,StartDate,EndDate,MinQty,MaxQty,,,,,,,,,,,,
1,1/1/1900,No Discount,Sin descuento,Aucune remise,0,No Discount,Sin descuento,Aucune remise,No Discount,Sin descuento,Aucune remise,00:00.0,00:00.0,0,NULL,,,,,,,,,,,,
2,1/2/1900,Volume Discount 11 to 14,Descuento por volumen (entre 11 y 14),Remise sur quantité (de 11 à 14),0.02,Volume Discount,Descuento por volumen,Remise sur quantité,Reseller,Distribuidor,Revendeur,00:00.0,00:00.0,11,14,,,,,,,,,,,,
3,1/3/1900,Volume Discount 15 to 24,Descuento por volumen (entre 15 y 24),Remise sur quantité (de 15 à 24),0.05,Volume Discount,Descuento por volumen,Remise sur quantité,Reseller,Distribuidor,Revendeur,00:00.0,00:00.0,15,24,,,,,,,,,,,,
4,1/4/1900,Volume Discount 25 to 40,Descuento por volumen (entre 25 y 40),Remise sur quantité (de 25 à 40),0.1,Volume Discount,Descuento por volumen,Remise sur quantité,Reseller,Distribuidor,Revendeur,00:00.0,00:00.0,25,40,,,,,,,,,,,,
5,1/5/1900,Volume Discount 41 to 60,Descuento por volumen (entre 41 y 60),Remise sur quantité (de 41 à 60),0.15,Volume Discount,Descuento por volumen,Remise sur quantité,Reseller,Distribuidor,Revendeur,00:00.0,00:00.0,41,60,,,,,,,,,,,,
6,1/6/1900,Volume Discount over 60,Descuento por volumen (más de 60),Remise sur quantité (au-delà de 60),0.2,Volume Discount,Descuento por volumen,Remise sur quantité,Reseller,Distribuidor,Revendeur,00:00.0,00:00.0,61,NULL,,,,,,,,,,,,
7,1/7/1900,Mountain-100 Clearance Sale,"Liquidación de bicicleta de montaña, 100",Liquidation VTT 100,0.35,Discontinued Product,Descatalogado,Ce produit n'est plus commercialisé,Reseller,Distribuidor,Revendeur,00:00.0,00:00.0,0,NULL,,,,,,,,,,,,
8,1/8/1900,Sport Helmet Discount-2002,"Casco deportivo, descuento: 2002",Remise sur les casques sport - 2002,0.1,Seasonal Discount,Descuento de temporada,Remise saisonnière,Reseller,Distribuidor,Revendeur,00:00.0,00:00.0,0,NULL,,,,,,,,,,,,
9,1/9/1900,Road-650 Overstock,"Bicicleta de carretera: 650, oferta especial",Déstockage Vélo de route 650,0.3,Excess Inventory,Inventario excedente,Déstockage,Reseller,Distribuidor,Revendeur,00:00.0,00:00.0,0,NULL,,,,,,,,,,,,
10,1/10/1900,Mountain Tire Sale,Oferta de cubierta de montaña,Vente de pneus de VTT,0.5,Excess Inventory,Inventario excedente,Déstockage,Customer,Cliente,Client,00:00.0,00:00.0,0,NULL,,,,,,,,,,,,
11,1/11/1900,Sport Helmet Discount-2003,"Casco deportivo, descuento: 2003",Remise sur les casques sport - 2003,0.15,Seasonal Discount,Descuento de temporada,Remise saisonnière,Reseller,Distribuidor,Revendeur,00:00.0,00:00.0,0,NULL,,,,,,,,,,,,
12,1/12/1900,LL Road Frame Sale,Oferta de cuadro de carretera GB,Vente de cadres de vélo de route LL,0.35,Excess Inventory,Inventario excedente,Déstockage,Reseller,Distribuidor,Revendeur,00:00.0,00:00.0,0,NULL,,,,,,,,,,,,
13,1/13/1900,Touring-3000 Promotion,Promoción ‘Touring-3000’,Promotion “Touring-3000”,0.15,New Product,Producto Nuevo,Nouveau produit,Reseller,Distribuidor,Revendeur,00:00.0,00:00.0,0,NULL,,,,,,,,,,,,
14,1/14/1900,Touring-1000 Promotion,Promoción ‘Touring-1000’,Promotion “Touring-1000”,0.2,New Product,Producto Nuevo,Nouveau produit,Reseller,Distribuidor,Revendeur,00:00.0,00:00.0,0,NULL,,,,,,,,,,,,
15,1/15/1900,Half-Price Pedal Sale,Venta de pedales a mitad de precio,Pédales à moitié prix,0.5,Seasonal Discount,Descuento de temporada,Remise saisonnière,Customer,Cliente,Client,00:00.0,00:00.0,0,NULL,,,,,,,,,,,,
16,1/16/1900,Mountain-500 Silver Clearance Sale,"Liquidación de bicicleta de montaña, 500, plateada",Liquidation VTT 500 argent,0.4,Discontinued Product,Descatalogado,Ce produit n'est plus commercialisé,Reseller,Distribuidor,Revendeur,00:00.0,00:00.0,0,NULL,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
