incident_id,service_type,address,city,start_time,restoration_time,outage_duration_minutes,customers_affected,cause,weather_condition,crew_dispatched
1,Water Pipeline,North Bay Boulevard,Navotas City,2/7/2024 23:18,4/24/2023 2:25,606,577,Equipment Age,High Wind,Yes
2,Water Pipeline,Ermita District,City of Manila,11/24/2025 9:55,1/20/2024 15:47,1338,8711,Lightning,High Wind,No
3,Electric Grid,Ermita District,City of Manila,7/25/2023 14:39,9/21/2024 15:20,515,1647,Equipment Age,High Wind,No
4,Water Pipeline,North Bay Boulevard,Navotas City,7/4/2023 13:19,8/20/2024 11:07,1429,7265,Equipment Age,Clear,Yes
5,Electric Grid,Ermita District,City of Manila,11/23/2024 17:42,2/21/2025 19:42,178,7999,Equipment Age,Heatwave,Yes
6,Water Pipeline,North Bay Boulevard,Navotas City,4/24/2025 3:37,7/16/2025 0:44,1430,173,Pipe Burst,Heatwave,No
7,Water Pipeline,North Bay Boulevard,Navotas City,2/7/2024 7:15,12/12/2024 13:18,256,4349,Equipment Age,High Wind,Yes
8,Water Pipeline,Ermita District,City of Manila,4/8/2025 3:31,8/19/2024 23:43,767,1338,Fallen Tree Branch,Heatwave,Yes
9,Water Pipeline,North Bay Boulevard,Navotas City,1/14/2026 13:28,3/9/2026 15:47,188,2799,Fallen Tree Branch,Clear,Yes
10,Water Pipeline,North Bay Boulevard,Navotas City,4/15/2022 19:22,6/1/2025 15:37,769,2932,Pipe Burst,Heavy Rain,No
11,Water Pipeline,North Bay Boulevard,Navotas City,6/28/2025 5:35,11/19/2022 2:40,568,3617,Pipe Burst,Heavy Rain,No
12,Water Pipeline,North Bay Boulevard,Navotas City,6/8/2026 23:29,6/10/2023 5:02,319,2507,Pipe Burst,High Wind,Yes
13,Electric Grid,North Bay Boulevard,Navotas City,5/31/2023 5:24,6/23/2025 5:21,836,6335,Equipment Age,Clear,Yes
14,Water Pipeline,Ermita District,City of Manila,7/4/2022 6:04,8/22/2026 16:18,493,2306,Fallen Tree Branch,High Wind,No
15,Water Pipeline,North Bay Boulevard,Navotas City,5/15/2022 4:52,3/22/2026 2:13,617,5060,Equipment Age,High Wind,Yes
16,Water Pipeline,North Bay Boulevard,Navotas City,1/5/2025 18:17,10/20/2022 17:45,773,6233,Pipe Burst,High Wind,No
17,Electric Grid,North Bay Boulevard,Navotas City,2/15/2026 11:11,6/19/2026 15:13,1029,9394,Lightning,Heavy Rain,No
18,Electric Grid,Ermita District,City of Manila,8/21/2024 3:14,4/16/2026 13:14,1013,668,Pipe Burst,Heatwave,Yes
19,Electric Grid,Ermita District,City of Manila,11/7/2024 12:14,8/23/2024 2:19,1017,9842,Fallen Tree Branch,Clear,No
20,Water Pipeline,Ermita District,City of Manila,6/9/2024 21:50,5/31/2026 6:47,517,6361,Pipe Burst,Clear,No
21,Water Pipeline,Ermita District,City of Manila,2/19/2024 20:33,10/8/2026 7:03,882,5830,Lightning,High Wind,Yes
