ticket_id,account_id,contact_channel,issue_category,reported_date,resolution_time_hours,first_contact_resolved,satisfaction_score
1,1,Mobile App,Power Outage,3/31/2026 0:36,13.2,No,2
2,2,Phone,Move In/Out,8/4/2026 3:16,7.6,Yes,1
3,3,Phone,Water Leak,4/19/2026 9:21,4.3,Yes,1
4,4,Mobile App,Water Leak,4/7/2026 9:57,14.8,No,5
5,5,Website,Move In/Out,6/20/2026 10:27,3.5,Yes,2
6,6,Mobile App,High Bill,5/19/2026 17:46,19.3,No,5
7,7,Website,Water Leak,9/30/2025 7:02,22.5,No,2
8,8,Mobile App,Water Leak,12/24/2025 14:28,22.2,Yes,4
9,9,Website,Power Outage,10/3/2025 7:17,23.7,No,3
10,10,Mobile App,Move In/Out,7/22/2026 20:57,14.2,No,2
11,11,Phone,Power Outage,11/15/2025 1:17,6.2,Yes,2
12,12,Website,Power Outage,5/8/2026 23:41,15.2,Yes,2
13,13,Website,Move In/Out,4/8/2026 10:15,15.9,No,5
14,14,Mobile App,Move In/Out,7/24/2026 4:50,2.7,Yes,4
15,15,Mobile App,Water Leak,4/29/2026 21:45,18.5,No,3
16,16,Website,Move In/Out,8/17/2026 7:50,23.2,Yes,5
17,17,Mobile App,Move In/Out,7/2/2026 8:22,0,No,3
18,18,Mobile App,Water Leak,6/28/2026 21:30,1.9,Yes,5
19,19,Website,Move In/Out,5/30/2026 4:51,4.5,No,1
20,20,Mobile App,Power Outage,9/6/2026 5:08,20.6,Yes,1
21,21,Phone,Move In/Out,8/30/2026 6:15,9.5,Yes,5
22,22,Website,Move In/Out,6/23/2026 6:43,6.8,Yes,4
23,23,Phone,High Bill,4/24/2026 23:16,15.4,No,2
24,24,Mobile App,High Bill,3/2/2026 14:15,0.3,Yes,2
25,25,Website,Water Leak,10/15/2025 23:18,12.1,Yes,5
26,26,Mobile App,Water Leak,5/1/2026 20:45,22.3,Yes,2
27,27,Mobile App,Move In/Out,7/16/2026 5:37,0.3,Yes,4
28,28,Phone,Power Outage,4/9/2026 21:43,12.6,No,2
29,29,Phone,Water Leak,1/1/2026 20:54,9.7,No,2
30,30,Mobile App,Move In/Out,1/3/2026 17:40,2.1,Yes,3
31,31,Mobile App,Move In/Out,8/12/2026 2:07,22.3,Yes,3
32,32,Phone,High Bill,7/11/2026 5:25,16.9,No,4
33,33,Mobile App,High Bill,1/22/2026 12:50,20.1,No,2
34,34,Mobile App,Move In/Out,7/2/2026 17:03,21.7,No,1
35,35,Phone,High Bill,7/13/2026 16:23,12,No,1
36,36,Phone,Power Outage,12/24/2025 16:27,13.5,Yes,4
37,37,Mobile App,High Bill,1/25/2026 0:58,4.5,Yes,3
38,38,Phone,High Bill,1/22/2026 12:41,6.5,Yes,4
39,39,Mobile App,Water Leak,10/17/2025 0:52,13.9,No,4
40,40,Phone,High Bill,6/2/2026 12:39,9.3,No,4
41,41,Mobile App,Move In/Out,1/18/2026 8:34,5.9,Yes,4
42,42,Phone,High Bill,9/3/2026 16:07,12.7,No,2
