timestamp,address,city,total_demand,outside_temperature_c,is_weekend,is_holiday,peak_hour_flag
12/1/2022 3:35,"47 Masikap St., Brgy. BF Homes",Parañaque,20.0,30.0,TRUE,FALSE,FALSE
8/19/2022 18:32,"84 Maligaya St., Brgy. Ermita",Manila,90.7,45.9,TRUE,FALSE,TRUE
8/5/2022 23:14,"121 Molave St., Brgy. Sto. Niño",Marikina,25.8,31.3,FALSE,FALSE,FALSE
6/20/2022 17:19,"158 Maligaya St., Brgy. Ususan",Taguig,46.7,36.0,TRUE,FALSE,FALSE
6/11/2022 0:11,"195 Dahlia St., Brgy. San Antonio",Makati,29.3,32.1,TRUE,TRUE,FALSE
9/16/2022 2:08,"232 Narra St., Brgy. Maricaban",Pasay,20.0,30.0,TRUE,FALSE,FALSE
1/7/2022 1:02,"269 Acacia St., Brgy. Diliman",Quezon City,71.1,41.5,TRUE,FALSE,TRUE
9/22/2022 16:42,"306 Rizal St., Brgy. Alabang",Muntinlupa,20.4,30.1,TRUE,TRUE,FALSE
9/25/2022 0:19,"343 Acacia St., Brgy. Malinta",Valenzuela,83.6,44.3,FALSE,TRUE,TRUE
2/14/2022 21:27,"380 Maharlika St., Brgy. Longos",Malabon,93.3,46.5,FALSE,FALSE,TRUE
5/29/2022 11:05,"417 Mabini St., Brgy. Ugong",Pasig,47.6,36.2,TRUE,TRUE,FALSE
5/16/2022 8:43,"454 Bonifacio St., Brgy. Camarin",Caloocan,80.9,43.7,TRUE,FALSE,TRUE
10/21/2022 21:38,"491 Kalayaan St., Brgy. Daanghari",Navotas,97.3,47.4,FALSE,TRUE,TRUE
10/21/2022 12:00,"528 Bonifacio St., Brgy. Sta. Ana",Pateros,69.3,41.1,FALSE,FALSE,TRUE
8/1/2022 20:37,"565 Sampaguita St., Brgy. Highway Hills",Mandaluyong,73.3,42.0,FALSE,TRUE,TRUE
10/15/2022 4:11,"602 Masikap St., Brgy. Greenhills",San Juan,97.3,47.4,FALSE,TRUE,TRUE
6/7/2022 10:51,"639 Maligaya St., Brgy. Talon Uno",Las Piñas,28.0,31.8,FALSE,FALSE,FALSE
7/16/2022 20:05,"676 Molave St., Brgy. Baclaran",Parañaque,39.1,34.3,TRUE,TRUE,FALSE
11/14/2022 18:34,"713 Narra St., Brgy. Sampaloc",Manila,91.6,46.1,FALSE,TRUE,TRUE
6/5/2022 0:09,"750 Dahlia St., Brgy. Parang",Marikina,41.3,34.8,FALSE,TRUE,FALSE
4/8/2022 1:42,"787 Narra St., Brgy. Western Bicutan",Taguig,86.2,44.9,FALSE,FALSE,TRUE
4/25/2022 11:13,"824 Acacia St., Brgy. Poblacion",Makati,59.1,38.8,FALSE,FALSE,FALSE
3/18/2022 15:11,"861 Rizal St., Brgy. Malibay",Pasay,65.3,40.2,FALSE,FALSE,TRUE
9/25/2022 17:02,"898 Mabini St., Brgy. Cubao",Quezon City,36.4,33.7,FALSE,TRUE,FALSE
6/12/2022 2:22,"935 Maharlika St., Brgy. Putatan",Muntinlupa,40.9,34.7,TRUE,TRUE,FALSE
6/2/2022 6:52,"972 Mabini St., Brgy. Marulas",Valenzuela,56.9,38.3,TRUE,FALSE,FALSE
11/20/2022 0:15,"20 Bonifacio St., Brgy. Concepcion",Malabon,38.7,34.2,TRUE,FALSE,FALSE
9/21/2022 6:23,"57 Kalayaan St., Brgy. San Antonio",Pasig,21.3,30.3,TRUE,FALSE,FALSE
12/22/2022 10:37,"94 Masikap St., Brgy. Grace Park",Caloocan,69.3,41.1,TRUE,FALSE,TRUE
1/19/2022 15:21,"131 Sampaguita St., Brgy. San Roque",Navotas,20.9,30.2,FALSE,FALSE,FALSE
7/5/2022 13:48,"168 Masikap St., Brgy. San Roque",Pateros,83.6,44.3,TRUE,FALSE,TRUE
10/12/2022 5:58,"205 Maligaya St., Brgy. Plainview",Mandaluyong,29.3,32.1,FALSE,TRUE,FALSE
12/11/2022 1:42,"242 Molave St., Brgy. Addition Hills",San Juan,98.2,47.6,TRUE,FALSE,TRUE
4/24/2022 17:57,"279 Narra St., Brgy. Pulang Lupa",Las Piñas,20.0,30.0,FALSE,FALSE,FALSE
1/11/2022 0:11,"316 Dahlia St., Brgy. Don Bosco",Parañaque,34.7,33.3,TRUE,TRUE,FALSE
10/30/2022 0:49,"353 Rizal St., Brgy. Malate",Manila,36.0,33.6,TRUE,FALSE,FALSE
10/29/2022 17:25,"390 Acacia St., Brgy. Concepcion Uno",Marikina,89.8,45.7,FALSE,TRUE,TRUE
1/10/2022 2:59,"427 Rizal St., Brgy. Fort Bonifacio",Taguig,76.0,42.6,TRUE,FALSE,TRUE
12/17/2022 3:41,"464 Mabini St., Brgy. Bel-Air",Makati,25.8,31.3,TRUE,TRUE,FALSE
2/18/2022 1:11,"501 Maharlika St., Brgy. San Isidro",Pasay,52.4,37.3,TRUE,FALSE,FALSE
2/1/2022 11:19,"538 Kalayaan St., Brgy. Tandang Sora",Quezon City,92.4,46.3,FALSE,FALSE,TRUE
7/5/2022 23:08,"575 Bonifacio St., Brgy. Tunasan",Muntinlupa,32.0,32.7,FALSE,FALSE,FALSE
5/28/2022 22:50,"612 Kalayaan St., Brgy. Karuhatan",Valenzuela,75.1,42.4,FALSE,TRUE,TRUE
12/16/2022 17:30,"649 Masikap St., Brgy. Potrero",Malabon,56.0,38.1,TRUE,FALSE,FALSE
